,Primacy Agency,PWSID,PWS Name,Reported System Size,Service Lines,1. Service lines that contain any lead pipe,2. Service lines that do not contain any lead pipe but have lead connectors,3a. Service lines that contain galvanized pipe and were previously downstream from a lead source,3b. Service lines that contain galvanized pipe that have never been downstream from any lead source,4a. Service lines that do not contain any lead pipe or galvanized pipe and that do not have lead connectors,4b. Service lines for which the material makeup of the service line and of the connector are not known,Not reported,Total,COUNTY_FIPS,STATE_FIPS,FIPS
19,AK,AK2250011,KODIAK WATER SYSTEM,Medium,2532,0,0.0,0,0,0.0,0,2532,2532,250,02,02250
20,AK,AK2298103,VALDEZ WATER SYSTEM - MAIN,Medium,1000,100,0.0,0,200,500.0,200,0,1000,298,02,02298
21,AK,AK2310683,UNIVERSITY OF ALASKA - FAIRBANKS,Medium,82,0,0.0,0,63,19.0,0,0,82,310,02,02310
22,AK,AK2310730,GOLDEN HEART UTILITIES,Medium,12900,0,0.0,0,0,11900.0,1000,0,12900,310,02,02310
23,AK,AK2310900,COLLEGE UTILITIES CORPORATION,Medium,2505,0,0.0,0,0,0.0,0,2505,2505,310,02,02310
24,AK,AK2310918,FT WAINWRIGHT - MAIN POST,Medium,914,0,0.0,0,11,632.0,271,0,914,310,02,02310
25,AL,AL0000001,AUTAUGA CO WATER AUTHORITY,Medium,2681,0,0.0,0,0,2681.0,0,0,2681,000,01,01000
26,AL,AL0000017,"Water Works Board, City of Prattville",Medium,15873,0,0.0,0,0,15873.0,0,0,15873,000,01,01000
27,AL,AL0000023,NORTH BALDWIN UTILITIES,Medium,9000,0,0.0,0,0,7083.0,1917,0,9000,000,01,01000
28,AL,AL0000028,"PARK CITY WATER AUTHORITY, INC",Small,425,0,0.0,0,0,0.0,0,425,425,000,01,01000
29,AL,AL0000035,FAIRHOPE WATER SYSTEM (CITY OF),Medium,21602,0,0.0,0,0,19330.0,2272,0,21602,000,01,01000
30,AL,AL0000036,FOLEY (UTILITIES BOARD OF THE CITY OF),Medium,14914,0,0.0,0,0,12463.0,2451,0,14914,000,01,01000
31,AL,AL0000065,SILVERHILL WATER SYSTEM (TOWN OF),Small,960,0,0.0,0,0,960.0,0,0,960,000,01,01000
32,AL,AL0000073,SUMMERDALE WATER WORKS,Small,579,0,0.0,0,0,300.0,279,0,579,000,01,01000
33,AL,AL0000103,ONEONTA UTILITIES BOARD,Medium,6411,0,0.0,0,0,5276.0,1135,0,6411,000,01,01000
34,AL,AL0000108,SNEAD WATER WORKS,Medium,1810,0,0.0,0,0,1810.0,0,0,1810,000,01,01000
35,AL,AL0000125,Greenhill Waterworks and Sewer Board,Medium,3199,0,0.0,0,0,1010.0,2189,0,3199,000,01,01000
36,AL,AL0000133,ANNISTON WATER & SEWER BOARD,Large,21019,0,0.0,0,0,8337.0,12682,0,21019,000,01,01000
37,AL,AL0000162,OXFORD WATER WORKS & SEWER BOARD,Medium,9667,0,0.0,0,0,9544.0,123,0,9667,000,01,01000
38,AL,AL0000164,PIEDMONT UTILITIES BOARD,Medium,2832,0,0.0,0,0,0.0,2832,0,2832,000,01,01000
39,AL,AL0000168,City of Weaver Water System,Medium,2206,0,0.0,0,0,1234.0,972,0,2206,000,01,01000
40,AL,AL0000180,BEULAH UTILITIES DISTRICT,Medium,3329,0,0.0,0,0,3329.0,0,0,3329,000,01,01000
41,AL,AL0000237,GILBERTOWN (UTILITIES BOARD OF TOWN OF),Medium,2770,0,0.0,0,0,2770.0,0,0,2770,000,01,01000
42,AL,AL0000255,GROVE HILL WATER WORKS,Medium,1250,0,0.0,0,0,1250.0,0,0,1250,000,01,01000
43,AL,AL0000296,ENTERPRISE WATER WORKS,Medium,15054,0,0.0,0,0,12545.0,2509,0,15054,000,01,01000
44,AL,AL0000320,LITTLEVILLE WATERWORKS,Medium,1192,0,0.0,0,0,1192.0,0,0,1192,000,01,01000
45,AL,AL0000356,ANDALUSIA (UTILITIES BOARD OF),Medium,5084,0,0.0,0,0,1348.0,3736,0,5084,000,01,01000
46,AL,AL0000375,OPP UTILITIES BOARD,Medium,3203,0,0.0,0,0,1547.0,1656,0,3203,000,01,01000
47,AL,AL0000394,CULLMAN COUNTY WATER DEPARTMENT,Medium,17357,0,0.0,0,0,17357.0,0,0,17357,000,01,01000
48,AL,AL0000402,"EAST CULLMAN WATER SYSTEM, INC.",Medium,4204,0,0.0,0,0,4204.0,0,0,4204,000,01,01000
49,AL,AL0000441,Utilities Board of the City of Ozark,Medium,6552,0,0.0,0,0,4914.0,1638,0,6552,000,01,01000
50,AL,AL0000490,SELMA WATER WORKS & SEWER BOARD,Medium,7763,0,0.0,0,0,1095.0,6668,0,7763,000,01,01000
51,AL,AL0000506,Town of Collinsville Waterworks and Sewer Board,Medium,1382,0,0.0,0,0,1375.0,7,0,1382,000,01,01000
52,AL,AL0000509,FORT PAYNE WATER WORKS BOARD,Medium,8650,0,0.0,0,0,7875.0,775,0,8650,000,01,01000
53,AL,AL0000539,MILLBROOK UTILITIES,Medium,2155,0,0.0,0,0,2155.0,0,0,2155,000,01,01000
54,AL,AL0000553,WEST ESCAMBIA UTILITIES INC.,Medium,4033,0,0.0,0,0,1609.0,2424,0,4033,000,01,01000
55,AL,AL0000555,BREWTON WATER WORKS,Medium,4001,0,0.0,0,0,3188.0,813,0,4001,000,01,01000
56,AL,AL0000572,Water Works Board of the City ofAttalla,Medium,2805,0,0.0,0,0,2130.0,675,0,2805,000,01,01000
57,AL,AL0000575,FORDS VALLEY & HWY 278 WATER,Medium,1847,0,0.0,0,0,1800.0,47,0,1847,000,01,01000
58,AL,AL0000577,NA,Medium,14879,0,0.0,0,0,2122.0,12757,0,14879,000,01,01000
59,AL,AL0000582,West Etowah County Water Authority,Medium,2340,0,0.0,0,0,2340.0,0,0,2340,000,01,01000
60,AL,AL0000591,Southside Water Works and Sewer Board,Medium,4035,0,0.0,0,0,2761.0,1274,0,4035,000,01,01000
61,AL,AL0000594,FAYETTE CO. WATER COORD. & F. P. A.,Medium,1425,0,0.0,0,0,1425.0,0,0,1425,000,01,01000
62,AL,AL0000624,HARTFORD WATER WORKS,Medium,1377,0,0.0,0,0,780.0,597,0,1377,000,01,01000
63,AL,AL0000663,HENRY COUNTY WATER AUTHORITY,Medium,3916,0,0.0,0,0,3916.0,0,0,3916,000,01,01000
64,AL,AL0000681,DOTHAN UTILITIES (CITY OF),Large,42314,0,0.0,0,0,36020.0,6294,0,42314,000,01,01000
65,AL,AL0000728,Section & Dutton Water Systems,Medium,12750,0,0.0,0,0,11519.0,1231,0,12750,000,01,01000
66,AL,AL0000737,BESSEMER WATER SERVICE,Large,28496,0,0.0,0,0,15428.0,13068,0,28496,000,01,01000
67,AL,AL0000738,BIRMINGHAM WATER WORKS BOARD,Large,214441,0,0.0,0,0,121119.0,93322,0,214441,000,01,01000
68,AL,AL0000748,GRAYSVILLE WATER & SEWER BOARD,Medium,3048,0,0.0,0,0,1455.0,1593,0,3048,000,01,01000
69,AL,AL0000755,Mulga Water Department,Medium,2069,0,0.0,0,0,1513.0,556,0,2069,000,01,01000
70,AL,AL0000763,WARRIOR RIVER WATER AUTHORITY,Medium,12172,0,0.0,0,0,11618.0,554,0,12172,000,01,01000
71,AL,AL0000773,VERNON WATER AND SEWER BOARD,Medium,3300,0,0.0,0,0,3286.0,14,0,3300,000,01,01000
72,AL,AL0000783,FLORENCE WATER-WASTEWATER DEPARTMENT,Large,26604,0,0.0,0,0,17570.0,9034,0,26604,000,01,01000
73,AL,AL0000801,WEST LAWRENCE WATER COOP,Medium,5007,0,0.0,0,0,5007.0,0,0,5007,000,01,01000
74,AL,AL0000805,BEAUREGARD WATER AUTHORITY,Medium,4090,0,0.0,0,0,4090.0,0,0,4090,000,01,01000
75,AL,AL0000814,LOACHAPOKA WATER AUTHORITY,Medium,5080,0,0.0,0,0,5080.0,0,0,5080,000,01,01000
76,AL,AL0000816,The Utilities Board of the City of Opelika,Large,15297,0,0.0,0,0,11475.0,3822,0,15297,000,01,01000
77,AL,AL0000820,SMITHS WATER AND SEWER AUTHORITY,Medium,11130,0,0.0,0,0,11130.0,0,0,11130,000,01,01000
78,AL,AL0000824,CITY OF ATHENS UTILITIES,Medium,11994,0,0.0,0,0,9813.0,2181,0,11994,000,01,01000
79,AL,AL0000833,LIMESTONE COUNTY WATER SYSTEM,Medium,27867,0,0.0,0,0,27867.0,0,0,27867,000,01,01000
80,AL,AL0000878,HARVEST-MONROVIA WATER & SEWER AUTHORITY,Medium,18700,0,0.0,0,0,15255.0,3445,0,18700,000,01,01000
81,AL,AL0000882,HUNTSVILLE UTILITIES,Large,100905,0,0.0,0,0,69745.0,31160,0,100905,000,01,01000
82,AL,AL0000893,City of New Hope Water Department,Medium,1966,0,0.0,0,0,0.0,1966,0,1966,000,01,01000
83,AL,AL0000897,OWENS CROSSROADS WATER AUTHORITY,Medium,3720,0,0.0,0,0,0.0,3720,0,3720,000,01,01000
84,AL,AL0000908,DEMOPOLIS WATER WORKS AND SEWER BOARD,Medium,3530,0,0.0,0,0,3059.0,471,0,3530,000,01,01000
85,AL,AL0000924,GUIN WATER & SEWER BOARD,Medium,1476,0,0.0,0,0,1310.0,166,0,1476,000,01,01000
86,AL,AL0000926,HAMILTON WATER AND WASTEWATER DEPARTMENT,Medium,3410,0,0.0,0,0,3216.0,194,0,3410,000,01,01000
87,AL,AL0000930,WINFIELD WATER WORKS & SEWER BOARD,Medium,3112,0,0.0,0,0,2285.0,827,0,3112,000,01,01000
88,AL,AL0000933,Albertville Municipal Utilities Board,Large,10340,0,0.0,0,0,9345.0,995,0,10340,000,01,01000
89,AL,AL0000935,ASBURY WATER SYSTEM INC.,Medium,1270,0,0.0,0,0,1270.0,0,0,1270,000,01,01000
90,AL,AL0000940,Douglas Water and Fire Protection Authority,Medium,6052,0,0.0,0,0,5952.0,100,0,6052,000,01,01000
91,AL,AL0000947,Sardis City Water and Sewer Board,Medium,1709,0,0.0,0,0,0.0,1709,0,1709,000,01,01000
92,AL,AL0000967,SOUTH ALABAMA UTILITIES WATER SYSTEM,Medium,21000,0,0.0,0,0,0.0,0,21000,21000,000,01,01000
93,AL,AL0000971,DAUPHIN ISLAND WATER & SEWER,Medium,2221,0,0.0,0,0,2221.0,0,0,2221,000,01,01000
94,AL,AL0000993,KUSHLA WATER DISTRICT,Medium,2208,0,0.0,0,0,2208.0,0,0,2208,000,01,01000
95,AL,AL0001002,MOBILE COUNTY WATER & FIRE PRO AUTHORITY,Medium,13269,0,0.0,0,0,12061.0,1208,0,13269,001,01,01001
96,AL,AL0001004,"MCB WATER AUTHORITY, INC.",Small,212,0,0.0,0,0,212.0,0,0,212,001,01,01001
97,AL,AL0001005,Mobile Area Water and Sewer Systems,Large,104955,0,0.0,0,0,33771.0,71184,0,104955,001,01,01001
98,AL,AL0001006,MT. VERNON (TOWN OF),Small,695,0,0.0,0,0,10.0,685,0,695,001,01,01001
99,AL,AL0001015,City of Prichard Waterworks and Sewer Board,Medium,9816,0,0.0,0,0,1593.0,8223,0,9816,001,01,01001
100,AL,AL0001021,Saraland Water and Sewer Board,Large,4588,0,0.0,0,0,1245.0,3343,0,4588,001,01,01001
101,AL,AL0001052,MONROEVILLE (WATER WORKS BD. OF CITY OF),Medium,3998,0,0.0,0,0,3124.0,874,0,3998,001,01,01001
102,AL,AL0001070,Montgomery Waterworks & Sanitary Sewer Board,Large,77242,0,0.0,0,0,71747.0,5495,0,77242,001,01,01001
103,AL,AL0001084,DECATUR (MUNICIPAL UTILITIES BOARD OF),Large,26940,0,0.0,0,0,19933.0,7007,0,26940,001,01,01001
104,AL,AL0001092,WEST MORGAN-EAST LAWRENCE WATER AUTHORIT,Medium,10611,0,0.0,0,0,10237.0,374,0,10611,001,01,01001
105,AL,AL0001106,PICKENS COUNTY WATER & F. P. AUTHORITY,Medium,4800,0,0.0,0,0,4800.0,0,0,4800,001,01,01001
106,AL,AL0001124,TROY UTILITIES (CITY OF),Medium,7332,0,0.0,0,0,1997.0,5335,0,7332,001,01,01001
107,AL,AL0001137,FT MITCHELL WATER SYSTEM,Medium,4638,0,0.0,0,0,4495.0,143,0,4638,001,01,01001
108,AL,AL0001145,RUSSELL COUNTY WATER AUTHORITY,Medium,6308,0,0.0,0,0,6308.0,0,0,6308,001,01,01001
109,AL,AL0001148,ALABASTER WATER BOARD,Medium,14381,0,0.0,0,0,0.0,14381,0,14381,001,01,01001
110,AL,AL0001149,BETHEL WATER SYSTEM,Medium,1393,0,0.0,0,0,1393.0,0,0,1393,001,01,01001
111,AL,AL0001151,COLUMBIANA WATER WORKS,Medium,4000,0,0.0,0,0,3227.0,773,0,4000,001,01,01001
112,AL,AL0001160,MONTEVALLO WATER WORKS & SEWER,Medium,3699,0,0.0,0,0,2944.0,755,0,3699,001,01,01001
113,AL,AL0001163,PELHAM WATER WORKS,Medium,12631,0,0.0,0,0,12420.0,211,0,12631,001,01,01001
114,AL,AL0001176,ASHVILLE WATER AND SEWER,Medium,1335,0,0.0,0,0,0.0,1335,0,1335,001,01,01001
115,AL,AL0001203,Odenville Utility Board,Medium,8300,0,0.0,0,0,8300.0,0,0,8300,001,01,01001
116,AL,AL0001222,SUMTER COUNTY WATER AUTHORITY,Medium,3461,0,0.0,0,0,3461.0,0,0,3461,001,01,01001
117,AL,AL0001245,City of Lincoln Water Department,Medium,3450,0,0.0,0,0,2875.0,575,0,3450,001,01,01001
118,AL,AL0001261,TALLADEGA-SHELBY WATER TREATMENT PLANT,Medium,2,0,0.0,0,0,2.0,0,0,2,001,01,01001
119,AL,AL0001265,ALEXANDER CITY WATER DEPARTMENT,Medium,10326,0,0.0,0,0,7732.0,2594,0,10326,001,01,01001
120,AL,AL0001301,"ENGLEWOOD-HULLS WATER SYSTEM, INC.",Medium,1905,0,0.0,0,0,1905.0,0,0,1905,001,01,01001
121,AL,AL0001307,City of Northport Waterworks,Medium,14570,0,0.0,0,0,11305.0,3265,0,14570,001,01,01001
122,AL,AL0001313,City of Tuscaloosa. Water and Sewer Department,Large,57463,0,0.0,0,0,38032.0,19431,0,57463,001,01,01001
123,AL,AL0001336,JASPER WATER WORKS AND SEWER BOARD,Medium,10870,0,0.0,0,0,9343.0,1527,0,10870,001,01,01001
124,AL,AL0001343,OAKMAN WATER WORKS,Medium,1180,0,0.0,0,0,0.0,0,1180,1180,001,01,01001
125,AL,AL0001434,COOK SPRINGS WATER AUTHORITY,Medium,1529,0,0.0,0,0,1529.0,0,0,1529,001,01,01001
126,AL,AL0001506,MYRTLEWOOD WATER SYSTEM,Medium,1321,0,0.0,0,0,1321.0,0,0,1321,001,01,01001
127,AL,AL0001507,BUTLER COUNTY WATER AUTHORITY,Medium,4671,0,0.0,0,0,4671.0,0,0,4671,001,01,01001
128,AL,AL0001512,Lowndes County Water Authority,Medium,1250,0,0.0,0,0,1250.0,0,0,1250,001,01,01001
129,AL,AL0001671,SHELBY COUNTY WATER SYSTEM,Large,13177,0,0.0,0,0,13177.0,0,0,13177,001,01,01001
130,AL,AL0001750,WEST AUTAUGA WATER AUTHORITY,Medium,1618,0,0.0,0,0,1618.0,0,0,1618,001,01,01001
131,AL,AL0001780,FIVE STAR WATER SUPPLY DISTRICT,Medium,6,0,0.0,0,0,6.0,0,0,6,001,01,01001
132,AL,AL0001783,BLOUNT COUNTY WATER,Medium,5171,0,0.0,0,0,5171.0,0,0,5171,001,01,01001
133,AL,AL0001786,"CULLMAN WATER WORKS, CITY OF",Large,12728,0,0.0,0,0,0.0,12728,0,12728,001,01,01001
134,AL,AL0001796,DEKALB-JACKSON WATER SUPPLY DISTRICT,Medium,5333,0,0.0,0,0,5333.0,0,0,5333,001,01,01001
135,AL,AL0001808,PLURIS ALABAMA LLC,Medium,1,0,0.0,0,0,0.0,0,1,1,001,01,01001
136,AL,AL0001814,GULF STATE PARK INTERPRETIVE CENTER WTS,Small,5,0,0.0,0,0,5.0,0,0,5,001,01,01001
137,AR,AR0000004,FORREST CITY WATERWORKS,Medium,6900,0,50.0,450,2600,3000.0,800,0,6900,000,05,05000
138,AR,AR0000013,STUTTGART WATERWORKS,Medium,30,0,0.0,0,0,30.0,0,0,30,000,05,05000
139,AR,AR0000017,CROSSETT WATER COMMISSION,Medium,3680,0,20.0,0,60,3500.0,100,0,3680,000,05,05000
140,AR,AR0000033,NORTH EAST PUBLIC WATER AUTH,Medium,1919,0,0.0,0,100,1819.0,0,0,1919,000,05,05000
141,AR,AR0000038,BEAVER WATER DISTRICT,Large,4,0,0.0,0,0,0.0,0,4,4,000,05,05000
142,AR,AR0000039,BELLA VISTA POA,Medium,13615,0,0.0,0,0,0.0,0,13615,13615,000,05,05000
143,AR,AR0000041,BENTONVILLE WATER UTILITIES,Medium,22395,0,0.0,0,0,0.0,0,22395,22395,000,05,05000
144,AR,AR0000044,CENTERTON WATERWORKS,Medium,8500,0,0.0,0,0,8500.0,0,0,8500,000,05,05000
145,AR,AR0000051,GRAVETTE WATERWORKS,Medium,2060,0,60.0,120,180,1400.0,300,0,2060,000,05,05000
146,AR,AR0000055,ROGERS WATER UTILITIES,Medium,1250,250,250.0,750,0,0.0,0,0,1250,000,05,05000
147,AR,AR0000066,WARREN WATERWORKS,Medium,3331,0,25.0,0,250,3056.0,0,0,3331,000,05,05000
148,AR,AR0000077,GREEN FOREST WATERWORKS,Medium,2415,0,0.0,0,0,0.0,2415,0,2415,000,05,05000
149,AR,AR0000081,LAKE VILLAGE WATERWORKS,Medium,1017,0,0.0,0,0,0.0,0,1017,1017,000,05,05000
150,AR,AR0000096,CORNING WATERWORKS,Medium,1605,0,0.0,0,0,0.0,0,1605,1605,000,05,05000
151,AR,AR0000101,COMMUNITY WATER SYSTEM,Medium,7043,0,0.0,0,0,0.0,0,7043,7043,000,05,05000
152,AR,AR0000109,MAGNOLIA WATERWORKS,Medium,5275,0,0.0,0,0,0.0,0,5275,5275,000,05,05000
153,AR,AR0000124,JONESBORO WATER SYSTEM,Medium,39702,0,0.0,0,0,0.0,0,39702,39702,000,05,05000
154,AR,AR0000138,CEDARVILLE WATERWORKS,Medium,3476,0,0.0,0,0,3476.0,0,0,3476,000,05,05000
155,AR,AR0000144,ALMA WATERWORKS,Medium,2443,0,0.0,0,0,2400.0,43,0,2443,000,05,05000
156,AR,AR0000152,MARION WATERWORKS,Medium,5357,0,0.0,0,0,0.0,0,5357,5357,000,05,05000
157,AR,AR0000163,WYNNE WATERWORKS,Medium,3504,0,0.0,0,0,0.0,0,3504,3504,000,05,05000
158,AR,AR0000170,MC GEHEE WATERWORKS,Medium,2084,0,0.0,0,0,0.0,0,2084,2084,000,05,05000
159,AR,AR0000171,DUMAS WATERWORKS,Medium,2629,0,0.0,0,0,0.0,0,2629,2629,000,05,05000
160,AR,AR0000184,MONTICELLO WATER DEPARTMENT,Medium,4329,0,0.0,0,0,0.0,0,4329,4329,000,05,05000
161,AR,AR0000189,CONWAY WATER SYSTEM,Medium,27143,27143,0.0,0,0,0.0,0,0,27143,000,05,05000
162,AR,AR0000195,VILONIA WATERWORKS,Medium,9200,0,0.0,0,0,9200.0,0,0,9200,000,05,05000
163,AR,AR0000201,OZARK WATERWORKS,Medium,1727,0,0.0,0,0,60.0,1667,0,1727,000,05,05000
164,AR,AR0000208,HOT SPRINGS VILLAGE WATERWORKS,Medium,6250,0,0.0,0,175,6075.0,0,0,6250,000,05,05000
165,AR,AR0000209,HOT SPRINGS UTILITIES,Medium,37958,0,0.0,0,0,34162.0,3796,0,37958,000,05,05000
166,AR,AR0000222,PARAGOULD LIGHT WATER & CABLE,Medium,10300,0,0.0,300,500,9000.0,500,0,10300,000,05,05000
167,AR,AR0000230,HOPE WATER LIGHT COMM,Medium,4432,0,0.0,0,0,0.0,4432,0,4432,000,05,05000
168,AR,AR0000237,MALVERN WATERWORKS,Medium,4255,425,0.0,0,0,3830.0,0,0,4255,000,05,05000
169,AR,AR0000250,BATESVILLE WATER UTILITIES,Medium,5700,0,200.0,0,1000,2000.0,2500,0,5700,000,05,05000
170,AR,AR0000264,NEWPORT WATERWORKS,Medium,3287,0,0.0,0,0,0.0,0,3287,3287,000,05,05000
171,AR,AR0000272,LIBERTY UTILITIES,Medium,17351,0,0.0,0,0,0.0,0,17351,17351,000,05,05000
172,AR,AR0000273,HARDIN WATER ASSOCIATION,Medium,1940,0,0.0,0,0,0.0,0,1940,1940,000,05,05000
173,AR,AR0000300,IMBODEN WATERWORKS,Small,337,0,0.0,0,0,337.0,0,0,337,000,05,05000
174,AR,AR0000301,HOXIE WATER DEPARTMENT,Small,1174,0,0.0,0,0,0.0,1174,0,1174,000,05,05000
175,AR,AR0000306,RAVENDEN WATERWORKS,Small,233,0,0.0,0,0,233.0,0,0,233,000,05,05000
176,AR,AR0000309,WALNUT RIDGE WATERWORKS,Medium,10500,3500,0.0,0,3500,3500.0,0,0,10500,000,05,05000
177,AR,AR0000319,YORKTOWN WATER ASSOCIATION,Medium,3150,0,0.0,0,0,3150.0,0,0,3150,000,05,05000
178,AR,AR0000345,WARD WATERWORKS,Medium,4779,0,0.0,0,0,4779.0,0,0,4779,000,05,05000
179,AR,AR0000349,MADISON CO WATER FACILITIES BD,Medium,3877,0,0.0,0,0,0.0,0,3877,3877,000,05,05000
180,AR,AR0000360,TEXARKANA WATER UTILITIES,Medium,11874,0,0.0,0,0,0.0,0,11874,11874,000,05,05000
181,AR,AR0000365,BLYTHEVILLE WATERWORKS,Medium,8755,1154,708.0,0,30,6859.0,4,0,8755,000,05,05000
182,AR,AR0000415,BARTON LEXA WATER ASSOCIATION,Medium,1505,0,0.0,0,0,0.0,0,1505,1505,000,05,05000
183,AR,AR0000416,WEST HELENA WATER WORKS,Medium,2596,0,0.0,0,0,0.0,0,2596,2596,000,05,05000
184,AR,AR0000422,GLENWOOD WATER DEPARTMENT,Medium,1936,0,0.0,0,0,0.0,0,1936,1936,000,05,05000
185,AR,AR0000438,MENA WATER DEPARTMENT,Medium,4750,0,500.0,500,250,3500.0,0,0,4750,000,05,05000
186,AR,AR0000445,POTTSVILLE WATER ASSOCIATION,Medium,1600,0,0.0,0,0,0.0,0,1600,1600,000,05,05000
187,AR,AR0000459,CROSS COUNTY RURAL WATER SYS,Medium,3650,0,3500.0,0,0,150.0,0,0,3650,000,05,05000
188,AR,AR0000465,CENTRAL ARKANSAS WATER,Large,156638,0,0.0,0,0,0.0,0,156638,156638,000,05,05000
189,AR,AR0000466,JACKSONVILLE WATERWORKS,Medium,9801,0,0.0,0,0,0.0,0,9801,9801,000,05,05000
190,AR,AR0000486,BRYANT WATERWORKS,Medium,7400,0,5700.0,50,200,450.0,1000,0,7400,000,05,05000
191,AR,AR0000492,SALEM WATER ASSOCIATION,Medium,8157,0,0.0,0,0,8157.0,0,0,8157,000,05,05000
192,AR,AR0000493,SARDIS WATER ASSOCIATION,Medium,5270,0,0.0,0,0,0.0,0,5270,5270,000,05,05000
193,AR,AR0000495,SOUTHWEST WATER ASSOCIATION,Medium,3671,0,0.0,0,0,3671.0,0,0,3671,000,05,05000
194,AR,AR0000504,GREENWOOD WATERWORKS,Medium,3780,0,0.0,0,0,3780.0,0,0,3780,000,05,05000
195,AR,AR0000507,FORT SMITH WATER UTILITIES,Large,37000,0,0.0,0,0,37000.0,0,0,37000,000,05,05000
196,AR,AR0000513,JAMES FORK REGIONAL WATER DISTRICT,Medium,4880,0,0.0,0,0,4880.0,0,0,4880,000,05,05000
197,AR,AR0000520,DEQUEEN WATER WORK,Medium,2319,0,0.0,0,0,0.0,0,2319,2319,000,05,05000
198,AR,AR0000525,EVENING SHADE WATERWORKS,Small,315,0,0.0,0,0,315.0,0,0,315,000,05,05000
199,AR,AR0000528,SIDNEY WATER SYSTEM,Small,147,0,0.0,0,0,145.0,2,0,147,000,05,05000
200,AR,AR0000529,WILLIFORD WATERWORKS,Small,34,0,0.0,0,0,34.0,0,0,34,000,05,05000
201,AR,AR0000550,EL DORADO WATERWORKS,Medium,8264,0,0.0,0,0,0.0,0,8264,8264,000,05,05000
202,AR,AR0000569,FAYETTEVILLE WATERWORKS,Large,43230,0,0.0,0,0,0.0,0,43230,43230,000,05,05000
203,AR,AR0000572,LINCOLN WATERWORKS,Medium,2500,0,0.0,0,0,0.0,2500,0,2500,000,05,05000
204,AR,AR0000575,SPRINGDALE WATER UTILITIES,Medium,40195,0,0.0,0,0,0.0,0,40195,40195,000,05,05000
205,AR,AR0000579,TUMBLING SHOALS WATER ASSOC,Medium,2600,0,0.0,0,0,2600.0,0,0,2600,000,05,05000
206,AR,AR0000586,FOUR MILE HILL WATER ASSOC,Medium,1850,0,0.0,0,0,0.0,1850,0,1850,000,05,05000
207,AR,AR0000590,SEARCY WATERWORKS,Medium,11639,0,644.0,0,0,10995.0,0,0,11639,000,05,05000
208,AR,AR0000603,DANVILLE WATERWORKS,Medium,1187,0,0.0,0,0,0.0,0,1187,1187,000,05,05000
209,AR,AR0000646,EAST END WATER,Medium,2391,0,0.0,0,0,0.0,0,2391,2391,000,05,05000
